Designator,Mid X,Mid Y,Rotation,Layer
BAT,157.7601,-64.485099,90.0,top
C1,94.5166,-60.6594,270.0,top
C11,105.5349,-51.9356,90.0,top
C12,109.9763,-68.5,0.0,top
C13,114.3969,-64.53535,0.0,top
C14,110.0525,-70.0,0.0,top
C15,113.8,-60.96155,90.0,top
C16,114.3969,-57.37,180.0,top
C17,114.4731,-58.8,0.0,top
C18,114.4731,-66.1,0.0,top
C19,115.4,-60.9475,90.0,top
C2,95.6506,-63.8171,180.0,top
C21,114.4731,-68.4238,0.0,top
C22,96.8063,-58.3606,180.0,top
C24,96.8825,-56.8,180.0,top
C26,112.1235,-51.9106,90.0,top
C27,96.8063,-59.9974,180.0,top
C28,114.3969,-63.0469,0.0,top
C3,92.3577,-51.9356,90.0,top
C34,118.7121,-51.9356,90.0,top
C45,130.293,-60.8225,0.0,top
C46,135.812,-60.6725,180.0,top
C47,136.01,-58.4725,180.0,top
C48,133.93,-64.1225,90.0,top
C49,139.98,-62.3075,90.0,top
C5,92.9,-60.3207,270.0,top
C50,142.08,-62.2695,90.0,top
C51,146.005,-66.9725,90.0,top
C57,136.945,-38.74,0.0,top
C58,133.65,-52.875,0.0,top
C59,131.6547,-45.675,0.0,top
C6,96.8063,-61.6342,180.0,top
C60,131.768,-43.675,0.0,top
C61,132.821,-39.688,270.0,top
C62,135.005,-48.75,270.0,top
C63,147.03,-53.55,0.0,top
C64,145.13,-45.7055,0.0,top
C65,140.255,-44.737,270.0,top
C66,137.83,-44.737,270.0,top
C67,148.9303,-48.5925,270.0,top
C7,96.8063,-66.0,180.0,top
C9,98.9463,-51.9356,90.0,top
D2,89.6621,-43.6956,180.0,top
D3,95.6821,-43.745601,180.0,top
D4,101.7021,-43.745601,180.0,top
D5,107.7221,-43.745601,180.0,top
D6,113.7421,-43.745601,180.0,top
D7,119.7621,-43.7456,180.0,top
DC1,92.5166,-121.5,180.0,top
DC2,92.7706,-120.0129,180.0,top
DC3,92.7706,-114.35,180.0,top
DD3,92.7304,-107.95,0.0,top
DD4,86.6734,-121.3984,0.0,top
DD5,86.6734,-109.7,0.0,top
DF1,95.0545,-111.35,180.0,top
DL2,93.50085,-123.15,0.0,top
DR1,92.542,-118.125,180.0,top
DR2,92.542,-116.3863,180.0,top
DR3,86.4067,-119.65,180.0,top
DR4,86.4067,-111.4307,0.0,top
DR6,86.4067,-105.4,180.0,top
DR7,86.4067,-107.308633,180.0,top
J1,105.84,-37.47,180.0,top
L1,130.63,-58.4725,0.0,top
L2,142.08,-66.6725,90.0,top
L4,138.89,-41.8773,180.0,top
L5,130.88,-40.025,90.0,top
PC1,139.425,-94.75,90.0,top
PC10,147.593333,-112.6583,270.0,top
PC11,144.364133,-112.5921,270.0,top
PC12,131.375,-93.175,90.0,top
PC13,137.181833,-78.9103,180.0,top
PC14,133.543333,-85.8703,90.0,top
PC15,139.65,-101.6,0.0,top
PC16,142.825,-95.23,270.0,top
PC17,137.843333,-106.2759,180.0,top
PC18,132.243333,-114.1373,270.0,top
PC19,151.243333,-112.4043,270.0,top
PC2,150.552333,-92.7077,0.0,top
PC20,139.65,-104.07,0.0,top
PC21,159.84,-110.47,90.0,top
PC22,155.13,-112.15,270.0,top
PC23,157.758333,-88.889,270.0,top
PC24,153.658333,-88.375,90.0,top
PC28,162.51,-81.055,90.0,top
PC29,159.09,-81.055,90.0,top
PC3,144.158333,-89.1389,90.0,top
PC4,150.352333,-94.8383,0.0,top
PC5,152.091633,-101.3383,0.0,top
PC6,137.873833,-81.3753,0.0,top
PC7,147.130933,-81.2445,0.0,top
PC8,147.458333,-88.889,90.0,top
PC9,152.060833,-105.7033,0.0,top
PD2,154.49,-74.82,270.0,top
PD3,151.866667,-74.84,270.0,top
PL1,138.370833,-86.7883,180.0,top
PL2,135.593333,-95.6383,90.0,top
PL3,146.104133,-117.1921,180.0,top
PL4,159.216667,-105.2117,0.0,top
PL5,159.216667,-99.3517,0.0,top
PQ1,142.793333,-80.2653,0.0,top
PR10,131.783333,-106.1383,180.0,top
PR12,146.432933,-79.4945,0.0,top
PR13,131.143333,-87.2053,270.0,top
PR14,139.65,-100.45,180.0,top
PR15,139.65,-102.7324,0.0,top
PR16,141.425,-95.217,270.0,top
PR17,149.558333,-88.375,90.0,top
PR18,148.598333,-106.2759,180.0,top
PR19,140.673333,-112.3673,0.0,top
PR2,156.04,-95.3,270.0,top
PR20,140.673333,-113.7173,0.0,top
PR21,140.658333,-115.0673,0.0,top
PR22,141.517533,-106.2759,0.0,top
PR23,156.961667,-109.9733,270.0,top
PR24,156.961667,-112.1417,90.0,top
PR25,155.1642,-109.9836,270.0,top
PR26,155.108333,-88.375,90.0,top
PR27,152.291666,-88.375,270.0,top
PR28,150.925,-88.375,90.0,top
PR29,131.628333,-80.6253,0.0,top
PR3,131.829133,-104.1883,180.0,top
PR30,131.628333,-78.9253,0.0,top
PR31,131.628333,-82.3253,0.0,top
