Designator,Mid X,Mid Y,Rotation,Layer
AIN1,104.8,-113.1,0.0,top
C1,135.325,-76.625,90.0,bottom
C10,133.3,-83.7,180.0,top
C11,159.6125,-99.155,270.0,top
C12,147.7,-69.53,90.0,top
C13,137.973332,-64.93,90.0,top
C14,135.25,-71.43,90.0,bottom
C15,137.25,-71.43,90.0,bottom
C16,136.246666,-64.93,90.0,top
C17,134.52,-64.93,90.0,top
C18,139.2,-74.75,270.0,bottom
C19,137.25,-74.75,270.0,bottom
C2,141.375,-77.6,90.0,bottom
C20,129.0,-63.5,90.0,top
C23,134.35,-119.62,90.0,top
C24,124.35,-115.35,180.0,top
C3,138.0,-65.0,90.0,bottom
C4,133.0,-72.5,90.0,bottom
C5,145.8,-69.53,90.0,top
C6,139.2,-71.43,90.0,bottom
C7,134.0,-65.0,90.0,bottom
C72,115.3,-95.77354,180.0,top
C73,115.3,-100.793394,0.0,top
C75,108.0,-107.9,0.0,bottom
C76,139.7,-64.93,270.0,top
C77,139.5,-65.0,270.0,bottom
C8,136.0,-65.0,90.0,bottom
C80,115.3,-47.230584,180.0,top
C81,115.3,-52.250415,0.0,top
C82,115.3,-54.165292,180.0,top
C83,115.3,-59.185123,0.0,top
C84,115.3,-61.1,180.0,top
C85,115.3,-66.119831,0.0,top
C86,115.3,-68.034708,180.0,top
C87,115.3,-73.054539,0.0,top
C88,115.3,-74.969416,180.0,top
C89,115.3,-79.989247,0.0,top
C9,137.0,-87.0,270.0,top
C90,115.3,-81.904124,180.0,top
C91,115.3,-86.923955,0.0,top
C92,115.3,-88.838832,180.0,top
C93,115.3,-93.858663,0.0,top
C94,154.6275,-128.275,0.0,top
C95,133.3,-85.7,180.0,top
C97,121.55,-119.98,90.0,top
C98,124.35,-111.6,180.0,top
C99,113.35,-117.15,90.0,top
FB1,142.0,-84.0,90.0,top
IC1,135.77,-74.75,0.0,top
J2,142.77,-46.8675,180.0,top
J3,163.3732,-116.0,0.0,top
J5,141.0,-109.5,0.0,top
J6,102.27,-75.93,90.0,top
J9,152.73,-46.9075,180.0,top
JP1,128.5,-58.0,180.0,top
JP18,153.4725,-94.185,0.0,top
JP19,163.2125,-99.655,90.0,top
JP21,173.5,-102.5,90.0,top
JP22,177.5,-102.5,90.0,top
JP23,181.5,-102.5,270.0,top
JP25,102.23,-104.0875,270.0,top
JP5,138.5,-95.0,270.0,top
JP6,117.0,-104.0,0.0,top
JP60,132.96,-51.0,0.0,top
JP7,117.0,-108.0,180.0,top
JP8,116.96,-112.0,180.0,top
OSC1,153.9125,-100.925,270.0,top
R10,108.5,-103.5,180.0,bottom
R11,107.925,-106.3,180.0,bottom
R12,108.2618,-47.230584,0.0,top
R13,116.25,-115.35,180.0,top
R14,118.85,-115.35,180.0,top
R15,128.85,-114.85,180.0,top
R23,124.85,-120.85,270.0,top
R24,124.35,-116.85,180.0,top
R25,124.35,-109.75,180.0,top
R3,128.0,-61.0,180.0,top
R6,142.5,-88.0,90.0,top
R67,174.5,-93.0,270.0,top
R7,140.5,-88.0,90.0,top
R71,163.1975,-124.275,180.0,top
R72,163.1975,-125.775,180.0,top
R73,163.1975,-127.275,180.0,top
R75,144.5,-88.0,90.0,top
R8,130.5,-63.5,90.0,top
R80,115.3,-48.964261,180.0,top
R81,115.3,-50.516738,180.0,top
R82,115.3,-55.898969,180.0,top
R83,115.3,-57.451446,180.0,top
R84,115.3,-62.833677,180.0,top
R85,115.3,-64.386154,180.0,top
R86,115.3,-69.768385,180.0,top
R87,115.3,-71.320862,180.0,top
R88,115.3,-76.703093,180.0,top
R89,115.3,-78.25557,180.0,top
R90,115.3,-83.637801,180.0,top
R91,115.3,-85.190278,180.0,top
R92,115.3,-90.572509,180.0,top
R93,115.3,-92.124986,180.0,top
R94,115.3,-97.507217,180.0,top
R95,115.3,-99.059694,180.0,top
TP2,162.0,-53.5,0.0,top
TP3,129.7,-88.7,0.0,top
TPAVDD1,135.5,-128.0,0.0,top
TPAVSS1,108.5,-126.0,0.0,top
TPDVDD1,173.0,-75.5,0.0,top
U10,155.3975,-125.475,180.0,top
U11,128.85,-119.85,270.0,top
U4,117.5,-120.5,270.0,top
