Designator,Mid X,Mid Y,Rotation,Layer
B1,94.075,-135.115,0.0,top
B2,165.974648,-135.115,0.0,top
C19,114.6,-46.7,90.0,top
C20,112.6,-46.7,90.0,top
C26,116.7,-51.9016,270.0,top
C27,118.65,-51.9016,270.0,top
C28,143.85,-72.85,0.0,top
C29,114.45,-80.0,180.0,top
C30,145.15,-79.5,0.0,top
C31,114.45,-85.0,0.0,top
C32,145.15,-84.0,0.0,top
C33,114.45,-91.9,180.0,top
C34,145.15,-90.5,0.0,top
C40,106.58381,-129.8304,90.0,top
C41,157.974648,-136.6884,90.0,top
C42,140.1,-139.6,180.0,top
C49,118.6,-67.565,90.0,bottom
C50,120.5,-67.565,90.0,bottom
C51,126.3,-67.565,90.0,bottom
C52,128.4,-67.565,90.0,bottom
C53,135.3,-67.565,90.0,bottom
C54,137.4,-67.565,90.0,bottom
C56,136.6,-100.05,90.0,bottom
C57,139.2,-99.5,270.0,bottom
C58,141.3,-99.5,270.0,bottom
C59,143.9,-100.05,90.0,bottom
C60,122.075001,-98.8,270.0,bottom
C61,129.1,-98.8,270.0,bottom
CN11,90.75,-82.7,0.0,top
CN12,169.274648,-82.7,0.0,top
CN14,126.271625,-141.25,0.0,top
CN5,150.306638,-50.25,90.0,top
D2,147.421638,-39.4125,0.0,top
D6,126.921625,-135.8,90.0,bottom
J1,116.6425,-40.9,180.0,top
L3,146.4,-104.55,90.0,bottom
LD1,134.4,-39.2455,90.0,top
LD2,129.95,-39.2455,90.0,top
LD3,125.551,-39.2455,90.0,top
LD6,107.8,-39.251448,90.0,top
LD7,123.3,-129.0399,90.0,top
LD8,135.421625,-128.9469,90.0,top
R28,107.8,-42.854448,90.0,top
R29,125.551,-42.854448,90.0,top
R30,129.95,-42.8,180.0,top
R31,134.4,-42.8,90.0,top
R36,148.506001,-65.253199,90.0,top
R37,150.606001,-65.149999,90.0,top
R38,114.6154,-87.5,0.0,top
R41,137.421625,-129.0829,90.0,top
R42,102.92461,-129.665,270.0,top
R43,104.74301,-129.665,270.0,top
R44,108.42461,-129.665,90.0,top
R45,125.2,-129.0399,90.0,top
R48,132.671625,-134.75,90.0,top
R49,134.671625,-134.8154,90.0,top
R51,142.6,-134.685,90.0,top
R52,144.4,-134.685,90.0,top
R54,115.7,-67.4,90.0,bottom
SB124,154.365,-62.95,0.0,bottom
SB132,141.0,-67.3996,90.0,bottom
SB135,113.8,-67.4,270.0,bottom
SB142,124.2,-77.077201,270.0,bottom
SB143,122.3,-77.077201,270.0,bottom
SB172,111.8,-86.565,90.0,bottom
SB197,107.20301,-129.74411,0.0,bottom
T2,132.671625,-129.0519,270.0,top
U11,129.875,-82.75,90.0,top
U12,139.1266,-134.4,90.0,top
U13,124.921625,-134.1,90.0,top
U6,117.7,-47.1,270.0,top
U8,149.4,-61.0,90.0,top
U9,155.356638,-59.9152,0.0,top
