Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C27, C28, C29, C41",0402,7,1u,
C10,0603,1,10p,
"C11, C12, C4",0402,3,10p,
"C13, C2, C7, C8",0805,4,22u,
"C14, C15, C18",0603,3,10u,
"C19, C23, C30, C33, C34, C36, C37, C38, C40",0805,9,10u,
"C20, C31, C32",0603,3,2u2,
"C21, C22, C25, C26, C35",0603,5,1u,
C24,0603,1,0u01,
C3,0402,1,0u1,
C39,0603,1,0u1,
C5,0402,1,330p,
C6,0402,1,33p,
C9,0402,1,2u2,
D1,1210,1,RED,
J1,1725656,1,1725656,
J2,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J3,S2B-PH-K-S,1,S2B-PH-K-SLFSN,
J4,OSTVN04A150,1,OSTVN04A150,
J5,10118194-0001LF,1,10118194-0001LF,
L1,L_Coilcraft_LPS4018,1,3u3,
"L2, L5",L_Coilcraft_LPS4018,2,2u2,
"L3, L4",L_Coilcraft_LPS3010,2,4u7,
"L6, L7, L8, L9",0805,4,3u3,
MOSFET1,SI2333DDS-T1-GE3,1,SI2333DDS-T1-GE3,
R10,0402,1,15K,
"R11, R17, R19",0402,3,324K,
"R12, R18, R20",0402,3,105K,
R13,0402,1,121K,
R14,0402,1,510R,
R15,0603,1,88K7,
R16,0603,1,16K9,
R3,0402,1,100K,
R4,0402,1,2K,
"R5, R6, R7, R9",0603,4,10K,
R8,0402,1,2K94,
TH1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,NTC,
U1,LTC3586EUFE_PBF,1,LTC3586EUFE-PBF,
U2,TPS60403DBVR,1,TPS60403DBVR,
U3,TPS73225DBVR,1,TPS73225DBVR,
U4,TPS72325DBVR,1,TPS72325DBVR,
