Designator,Mid X,Mid Y,Rotation,Layer
C1,183.4,-114.9,180.0,top
C10,165.025,-110.45,270.0,top
C11,175.255,-106.667598,180.0,top
C12,175.25,-110.647598,180.0,top
C13,163.6,-107.65,180.0,top
C14,178.25,-103.767598,0.0,top
C15,178.242598,-113.5,0.0,top
C16,175.6,-107.617598,180.0,top
C17,175.6,-109.697598,180.0,top
C18,164.9,-116.65,0.0,top
C19,164.785,-94.55,90.0,top
C2,170.2,-100.9,0.0,top
C20,171.35,-87.125,90.0,top
C21,168.675,-87.725,90.0,top
C22,171.3,-94.175,270.0,top
C23,167.55,-91.775,0.0,top
C24,174.85,-89.825,180.0,top
C25,174.85,-96.825,180.0,top
C26,167.325,-90.025,0.0,top
C27,181.55,-94.75,90.0,top
C28,181.55,-92.85,270.0,top
C29,181.6,-89.35,90.0,top
C3,160.45,-107.575,270.0,top
C30,164.125,-91.775,180.0,top
C31,176.45,-91.925,0.0,top
C32,176.25,-84.925,0.0,top
C33,173.25,-91.675,180.0,top
C34,173.05,-84.625,180.0,top
C35,164.325,-90.025,180.0,top
C36,179.05,-94.375,270.0,top
C37,179.0625,-87.375,90.0,top
C38,161.825,-87.475,270.0,top
C39,179.15,-90.825,90.0,top
C4,167.25,-112.98,90.0,top
C40,156.1,-97.45,90.0,top
C41,158.65,-110.025,180.0,top
C5,166.3,-114.9,90.0,top
C6,165.35,-114.9,90.0,top
C7,162.8,-101.5,270.0,top
C8,170.6,-115.497598,270.0,top
C9,169.1,-113.897598,90.0,top
D1,152.9,-106.2,0.0,top
J1,186.7325,-111.2875,90.0,top
J2,185.58,-102.47295,180.0,top
J3,156.6674,-89.2549,270.0,top
J4,185.651199,-91.11,270.0,top
J5,151.5,-100.0,270.0,top
L1,166.0,-102.2,90.0,top
L2,174.023801,-115.847598,270.0,top
L3,178.55,-106.397598,90.0,top
L4,178.542598,-110.85,270.0,top
L5,161.15,-114.4,90.0,top
L6,166.685,-94.55,90.0,top
L7,177.2,-94.425,90.0,top
L8,177.2125,-87.425,270.0,top
L9,163.675,-87.525,90.0,top
MOSFET1,172.9579,-102.5,90.0,top
R10,167.25,-114.92,270.0,top
R11,165.85,-113.48,0.0,top
R12,165.85,-112.53,180.0,top
R13,164.37,-113.98,270.0,top
R14,154.2,-108.3,0.0,top
R15,163.525,-110.45,270.0,top
R16,162.05,-110.45,90.0,top
R17,175.275,-105.717598,180.0,top
R18,175.275,-104.767598,0.0,top
R19,175.25,-111.597598,180.0,top
R20,175.25,-112.547598,0.0,top
R3,156.25,-93.65,90.0,top
R4,173.85,-105.25,90.0,top
R5,158.1,-103.85,180.0,top
R6,158.1,-105.35,180.0,top
R7,158.075,-107.3,180.0,top
R8,161.4,-107.6,270.0,top
R9,158.075,-108.8,180.0,top
TH1,153.45,-93.65,180.0,top
U1,170.0,-108.597598,0.0,top
U2,166.225,-87.125,90.0,top
U3,174.2,-94.375,0.0,top
U4,174.2,-87.375,0.0,top
