Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C10, C12, C15, C2, C5, C6, C9",0402,8,2u2,,GRM155R61C225KE44D
"C11, C48",0402,2,0u01,,CC0402KRX7R7BB103
"C13, C24, C26, C30, C31, C32, C34, C36, C38, C40",0402,10,1u,,CC0402KRX7R5BB105
"C14, C16, C27, C3, C4",0603,5,10u,,GRM188C80G106KE47D
"C17, C19, C20, C21",0603,4,100n,,CC0603KRX7R7BB104
C18,0603,1,0u1,,CC0603KRX7R7BB104
"C22, C7, C8",0603,3,4u7,,CL10A475KP8NNNC
C23,0603,1,1u,,CC0603KRX7R5BB105
"C25, C28, C35, C37, C39, C41, C45",0402,7,0u1,,CC0402KRX7R7BB104
C29,1206,1,100u,,CC1206MKX5R5BB107
C33,0402,1,1n,,CC0402KRX7R7BB102
"C42, C43, C44",CA064C102K5RAC7800,3,CA064C102K5RACTU,,CA064C102K5RACTU
"C46, C47",0402,2,47p,,CC0402JRNPO9BN470
CR1,ESDALC6V1-1M2,1,ESDALC6V1-1M2,,ESDALC6V1-1M2
"D1, D2, D3, D4",TPD4E1B06DCKR,4,TPD4E1B06DCKR,,TPD4E1B06DCKR
F1,MF-MSMF050-2,1,MF-MSMF050-2,,MF-MSMF050-2
"FL1, FL2",MPZ1005S300CT000,2,MPZ1005S300CT000,,MPZ1005S300CT000
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad,4,MountingHole_Pad,,DNP
J1,S2B-PH-K-S,1,S2B-PH-K-SLFSN,,S2B-PH-K-SLFSN
J2,PinHeader_2x09_P2.54mm_Horizontal,1,Conn_02x09_Odd_Even,,PH2RA-18-UA
J3,FTSH-107-01-L-DV-K,1,FTSH-107-01-L-DV-K,,FTSH-107-01-L-DV-K
J4,10118194-0001LF,1,10118194-0001LF,,10118194-0001LF
"LED1, LED3",LTST-C191KRKT,2,LTST-C191KRKT (RED),,LTST-C191KRKT (RED)
LED2,LTST-C191KGKT,1,LTST-C191KGKT (GREEN),,LTST-C191KGKT (GREEN)
R1,0603,1,330R,,RC0603JR-07330RL
"R10, R11, R12, R13",0603,4,1K,,RC0603FR-071KL
"R14, R15",0402,2,22R,,RC0402FR-0722RL
"R16, R17",CG0402MLC-05LG,2,CG0402MLC-05LG,,CG0402MLC-05LG
R2,0603,1,DNP,,DNP
R3,0603,1,2K,,RC0603FR-072KL
"R4, R5, R6, R7, R8",0402,5,10K,,ERJ-2RKF1002X
R9,0402,1,1M,,RC0402JR-071ML
"RN1, RN2, RN3",CAY16-222J4LF,3,CAY16-222J4LF,,CAY16-222J4LF
S1,4.36331E+11,1,4.36331E+11,,4.36331E+11
SW1,SLW-1276864-4A-D,1,SLW-1276864-4A-D,,SLW-1276864-4A-D
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP2, TP25, TP3, TP4, TP5, TP6, TP7, TP8, TP9",5015,19,5015,,5015
U1,MCP73831T-2ACI-OT,1,MCP73831T-2ACI/OT,,MCP73831T-2ACI/OT
"U2, U3",MCP1754T-3302E-OT,2,MCP1754T-3302E/OT,,MCP1754T-3302E/OT
U4,LM2664M6X-NOPB,1,LM2664M6X/NOPB,,LM2664M6X/NOPB
U5,TPS73225DBVR,1,TPS73225DBVR,,TPS73225DBVR
U6,TPS72325DBVR,1,TPS72325DBVR,,TPS72325DBVR
U7,STM32L496RGT6,1,STM32L496RGT6,,STM32L496RGT6
U8,ADS1299-4PAGR,1,ADS1299-4PAGR,,ADS1299-4PAGR
U9,FT231XS-R,1,FT231XS-R,,FT231XS-R
